UZ,174
MH,30
CH,75
MQ,1
BY,30
MY,102
GH,8
TJ,15
HK,9
IL,28
TT,3
NZ,199
FK,13
GT,49
LY,55
GN,14
SL,10
WS,4
GM,1
IM,2
DJ,9
HT,8
LU,9
GF,10
CY,11
SV,27
BA,11
TO,6
AG,3
GB,452
UG,15
HR,32
SY,24
AI,1
SH,1
TF,3
DK,70
BR,3799
GE,27
CL,464
VU,32
AR,699
EC,89
BJ,9
YT,1
AL,8
MK,13
CN,305
EE,25
ME,7
MZ,33
ER,5
AS,4
IE,46
FO,8
DZ,56
KI,20
KW,8
NP,42
LK,16
SD,30
BN,2
MN,22
AO,55
AU,1725
PK,125
BG,74
AQ,22
MU,3
GW,5
SX,1
CD,266
DE,548
BS,62
AF,62
MV,7
FI,105
ML,31
HU,55
VN,34
MC,1
UM,6
IQ,75
ZA,432
MG,69
UY,20
LV,20
BD,14
TV,1
CX,1
TH,66
CM,26
AT,134
SG,8
BQ,3
BZ,18
GU,3
RW,7
PR,62
CV,10
MF,1
VG,3
KE,239
SS,24
KZ,104
VC,5
LS,33
SZ,16
AM,13
MT,2
AD,1
LA,19
IS,83
MO,1
GQ,2
EG,69
GA,29
KP,65
PH,99
MS,2
KN,2
AW,1
UA,137
ET,44
DM,2
TN,15
MR,20
BF,49
IT,154
SO,19
RS,18
YE,24
KH,11
CG,49
CO,700
TW,31
NC,21
BE,117
CK,9
KS,3
BI,3
CC,1
LT,38
LR,12
KM,4
NR,1
LC,2
GI,1
NU,1
ZW,82
NO,159
FM,6
NE,23
CI,23
NG,37
BW,34
BM,3
BB,2
IO,1
SK,21
PG,253
SA,75
KG,50
TM,21
NA,220
OM,24
BT,2
RE,2
GL,80
VI,8
GY,32
TL,11
GG,2
TR,118
PE,162
JM,17
CF,35
EH,3
BH,2
JE,1
PY,46
JP,141
TD,21
AZ,35
PA,58
MD,8
ES,170
ZM,74
FJ,26
KR,186
WF,2
SM,2
CU,134
BO,181
PS,5
MP,11
HN,153
RU,910
TZ,68
TC,7
PM,2
SC,16
CW,1
LI,1
IN,314
FR,782
GP,6
KY,3
LB,4
IR,132
PF,49
MM,76
VA,1
QA,4
GR,73
SB,33
PL,168
SR,21
DO,37
SN,14
PT,67
NL,78
CR,123
JO,17
SI,23
ST,2
BL,1
NF,1
US,21403
ID,297
AE,29
NI,30
MW,29
TG,7
CA,2394
MX,173
PW,3
GD,3
VE,592
MA,34
SE,177
CZ,144
RO,24
